Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   127269     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00   124000     0.00     0.00  __gnu_cxx::new_allocator<char>::construct(char*, char const&)
  0.00      0.00     0.00   124000     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<char> >::construct<char>(std::allocator<char>&, char*, char const&)
  0.00      0.00     0.00   124000     0.00     0.00  std::vector<char, std::allocator<char> >::push_back(char const&)
  0.00      0.00     0.00   102011     0.00     0.00  std::_Iter_base<char*, false>::_S_base(char*)
  0.00      0.00     0.00    62007     0.00     0.00  std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.00      0.00     0.00    58017     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      0.00     0.00    49530     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      0.00     0.00    40004     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.00     0.00    40004     0.00     0.00  std::_Miter_base<char*>::iterator_type std::__miter_base<char*>(char*)
  0.00      0.00     0.00    30003     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      0.00     0.00    22327     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.00      0.00     0.00    20321     0.00     0.00  boost::detail::atomic_exchange_and_add(int*, int)
  0.00      0.00     0.00    20002     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      0.00     0.00    20002     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator(char* const&)
  0.00      0.00     0.00    20002     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00    20002     0.00     0.00  std::vector<char, std::allocator<char> >::max_size() const
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__uninitialized_copy<true>::__uninit_copy<char*, char*>(char*, char*, char*)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__copy_move_a<false, char*, char*>(char*, char*, char*)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__copy_move_a2<false, char*, char*>(char*, char*, char*)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::uninitialized_copy<char*, char*>(char*, char*, char*)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__uninitialized_copy_a<char*, char*, char>(char*, char*, char*, std::allocator<char>&)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::__uninitialized_move_if_noexcept_a<char*, char*, std::allocator<char> >(char*, char*, char*, std::allocator<char>&)
  0.00      0.00     0.00    20002     0.00     0.00  char* std::copy<char*, char*>(char*, char*, char*)
  0.00      0.00     0.00    19563     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, boost::shared_ptr<TcpConnection> > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<int const, boost::shared_ptr<TcpConnection> > >*)
  0.00      0.00     0.00    19523     0.00     0.00  void std::_Destroy_aux<true>::__destroy<char*>(char*, char*)
  0.00      0.00     0.00    19523     0.00     0.00  void std::_Destroy<char*>(char*, char*)
  0.00      0.00     0.00    19523     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.00      0.00     0.00    18522     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned int)
  0.00      0.00     0.00    15053     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00      0.00     0.00    13668     0.00     0.00  std::_Vector_base<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::_M_get_Tp_allocator()
  0.00      0.00     0.00    13662     0.00     0.00  void std::swap<boost::shared_ptr<Event>*>(boost::shared_ptr<Event>*&, boost::shared_ptr<Event>*&)
  0.00      0.00     0.00    12006     0.00     0.00  void std::swap<char*>(char*&, char*&)
  0.00      0.00     0.00    10522     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::end()
  0.00      0.00     0.00    10009     0.00     0.00  Buffer::length()
  0.00      0.00     0.00    10004     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      0.00     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned int)
  0.00      0.00     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned int, void const*)
  0.00      0.00     0.00    10001     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::difference_type __gnu_cxx::operator-<char*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > const&)
  0.00      0.00     0.00    10001     0.00     0.00  std::vector<char, std::allocator<char> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00    10001     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned int)
  0.00      0.00     0.00    10001     0.00     0.00  std::vector<char, std::allocator<char> >::end()
  0.00      0.00     0.00    10001     0.00     0.00  std::vector<char, std::allocator<char> >::begin()
  0.00      0.00     0.00     9270     0.00     0.00  boost::detail::shared_count::swap(boost::detail::shared_count&)
  0.00      0.00     0.00     9112     0.00     0.00  std::vector<boost::shared_ptr<EventSourceBase>, std::allocator<boost::shared_ptr<EventSourceBase> > >::size() const
  0.00      0.00     0.00     9011     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.00     0.00     9011     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00     8525     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00     8525     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base()
  0.00      0.00     0.00     8525     0.00     0.00  std::vector<char, std::allocator<char> >::vector()
  0.00      0.00     0.00     8521     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     8521     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.00      0.00     0.00     8521     0.00     0.00  std::vector<char, std::allocator<char> >::~vector()
  0.00      0.00     0.00     8040     0.00     0.00  boost::shared_ptr<TcpConnection>::operator->() const
  0.00      0.00     0.00     8039     0.00     0.00  std::pair<int const, boost::shared_ptr<TcpConnection> >* std::__addressof<std::pair<int const, boost::shared_ptr<TcpConnection> > >(std::pair<int const, boost::shared_ptr<TcpConnection> >&)
  0.00      0.00     0.00     8011     0.00     0.00  boost::shared_ptr<Event>::~shared_ptr()
  0.00      0.00     0.00     8000     0.00     0.00  std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&)
  0.00      0.00     0.00     7804     0.00     0.00  boost::detail::atomic_increment(int*)
  0.00      0.00     0.00     7799     0.00     0.00  boost::detail::shared_count::shared_count(boost::detail::shared_count const&)
  0.00      0.00     0.00     7793     0.00     0.00  boost::detail::sp_counted_base::add_ref_copy()
  0.00      0.00     0.00     7782     0.00     0.00  std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >::operator()(std::pair<int const, boost::shared_ptr<TcpConnection> > const&) const
  0.00      0.00     0.00     7270     0.00     0.00  boost::detail::shared_count::shared_count()
  0.00      0.00     0.00     7042     0.00     0.00  TcpConnection::Fd()
  0.00      0.00     0.00     6781     0.00     0.00  std::_Rb_tree<int, std::pair<int const, boost::shared_ptr<TcpConnection> >, std::_Select1st<std::pair<int const, boost::shared_ptr<TcpConnection> > >, std::less<int>, std::allocator<std::pair<int const, boost::shared_ptr<TcpConnection> > > >::_M_end()
  0.00      0.00     0.00     6563     0.00     0.00  std::vector<boost::shared_ptr<Event>, std::allocator<boost::shared_ptr<Event> > >::size() const
